M	d	Method	asymp_opt_power	Trial	Value
2	1898	Unweighted SVD-Stack	0.0	0	7.097059374852652e-07
2	1898	Unweighted SVD-Stack	0.0	1	0.01665447869408953
2	1898	Unweighted SVD-Stack	0.0	2	0.01183928036802349
2	1898	Unweighted SVD-Stack	0.0	3	0.03787555001168394
2	1898	Unweighted SVD-Stack	0.0	4	0.02222724572727966
2	1898	Unweighted SVD-Stack	0.0	5	0.10602377167330077
2	1898	Unweighted SVD-Stack	0.0	6	0.009443806794362438
2	1898	Unweighted SVD-Stack	0.0	7	0.061501470909474776
2	1898	Unweighted SVD-Stack	0.0	8	7.518418567265057e-05
2	1898	Unweighted SVD-Stack	0.0	9	0.0006126603941638284
2	1898	Unweighted SVD-Stack	0.0	10	0.02589138284117939
2	1898	Unweighted SVD-Stack	0.0	11	0.0070353495002380305
2	1898	Unweighted SVD-Stack	0.0	12	0.0180226259589836
2	1898	Unweighted SVD-Stack	0.0	13	0.08823833203521471
2	1898	Unweighted SVD-Stack	0.0	14	9.266682056288668e-05
2	1898	Unweighted SVD-Stack	0.0	15	0.004218314516053869
2	1898	Unweighted SVD-Stack	0.0	16	0.018171690518135476
2	1898	Unweighted SVD-Stack	0.0	17	0.0028848430918733963
2	1898	Unweighted SVD-Stack	0.0	18	0.0003280573851798403
2	1898	Unweighted SVD-Stack	0.0	19	0.001255119330254599
2	1898	Unweighted SVD-Stack	0.0	20	0.0411916478855293
2	1898	Unweighted SVD-Stack	0.0	21	0.00211504223800121
2	1898	Unweighted SVD-Stack	0.0	22	0.025063952378492068
2	1898	Unweighted SVD-Stack	0.0	23	0.09261675889556475
2	1898	Unweighted SVD-Stack	0.0	24	0.005348367930269614
2	1898	Unweighted SVD-Stack	0.0	25	0.012621005153211648
2	1898	Unweighted SVD-Stack	0.0	26	0.014485274279370079
2	1898	Unweighted SVD-Stack	0.0	27	0.10908023324214972
2	1898	Unweighted SVD-Stack	0.0	28	0.0013423838939901048
2	1898	Unweighted SVD-Stack	0.0	29	0.026676120531871978
2	1898	Unweighted SVD-Stack	0.0	30	0.024600266502810414
2	1898	Unweighted SVD-Stack	0.0	31	0.005143395136748305
2	1898	Unweighted SVD-Stack	0.0	32	0.049138210880426386
2	1898	Unweighted SVD-Stack	0.0	33	0.07718275031608507
2	1898	Unweighted SVD-Stack	0.0	34	0.04386544084637607
2	1898	Unweighted SVD-Stack	0.0	35	0.022227066931262533
2	1898	Unweighted SVD-Stack	0.0	36	0.044781430714261564
2	1898	Unweighted SVD-Stack	0.0	37	0.0356091088599351
2	1898	Unweighted SVD-Stack	0.0	38	0.0604776024707715
2	1898	Unweighted SVD-Stack	0.0	39	0.049305410263464834
2	1898	Unweighted SVD-Stack	0.0	40	0.0161000727812821
2	1898	Unweighted SVD-Stack	0.0	41	0.06463198881087304
2	1898	Unweighted SVD-Stack	0.0	42	0.05276683657708585
2	1898	Unweighted SVD-Stack	0.0	43	0.09645521211581766
2	1898	Unweighted SVD-Stack	0.0	44	0.07744307833172838
2	1898	Unweighted SVD-Stack	0.0	45	0.0035219440355030145
2	1898	Unweighted SVD-Stack	0.0	46	0.051690155311759745
2	1898	Unweighted SVD-Stack	0.0	47	0.030040517620645163
2	1898	Unweighted SVD-Stack	0.0	48	0.015286861906175056
2	1898	Unweighted SVD-Stack	0.0	49	0.03227021633197761
2	1898	Unweighted SVD-Stack	0.0	50	0.06966982574425516
2	1898	Unweighted SVD-Stack	0.0	51	0.029282354177613018
2	1898	Unweighted SVD-Stack	0.0	52	0.06935561105001287
2	1898	Unweighted SVD-Stack	0.0	53	0.012692036604415443
2	1898	Unweighted SVD-Stack	0.0	54	0.0023634239917264543
2	1898	Unweighted SVD-Stack	0.0	55	0.025971991592765042
2	1898	Unweighted SVD-Stack	0.0	56	0.0457473558400341
2	1898	Unweighted SVD-Stack	0.0	57	0.0004941329687227528
2	1898	Unweighted SVD-Stack	0.0	58	0.05975502246361361
2	1898	Unweighted SVD-Stack	0.0	59	0.0018680979491833515
2	1898	Unweighted SVD-Stack	0.0	60	0.00022160632043884766
2	1898	Unweighted SVD-Stack	0.0	61	0.09169845167297631
2	1898	Unweighted SVD-Stack	0.0	62	0.049386230688057725
2	1898	Unweighted SVD-Stack	0.0	63	0.04309896123762759
2	1898	Unweighted SVD-Stack	0.0	64	0.046158258492509895
2	1898	Unweighted SVD-Stack	0.0	65	0.009341135542922398
2	1898	Unweighted SVD-Stack	0.0	66	0.0006218150812907165
2	1898	Unweighted SVD-Stack	0.0	67	0.006504734705352798
2	1898	Unweighted SVD-Stack	0.0	68	0.022343585324693722
2	1898	Unweighted SVD-Stack	0.0	69	0.01977412389957332
2	1898	Unweighted SVD-Stack	0.0	70	0.016090157051670124
2	1898	Unweighted SVD-Stack	0.0	71	0.0030201715814451168
2	1898	Unweighted SVD-Stack	0.0	72	0.002174000038740859
2	1898	Unweighted SVD-Stack	0.0	73	0.016691057242553046
2	1898	Unweighted SVD-Stack	0.0	74	0.005236885026348623
2	1898	Unweighted SVD-Stack	0.0	75	0.00796104650364853
2	1898	Unweighted SVD-Stack	0.0	76	0.026006295391413657
2	1898	Unweighted SVD-Stack	0.0	77	0.022278741794654708
2	1898	Unweighted SVD-Stack	0.0	78	0.06757404995115496
2	1898	Unweighted SVD-Stack	0.0	79	0.0021286578614776474
2	1898	Unweighted SVD-Stack	0.0	80	0.0008551195686121458
2	1898	Unweighted SVD-Stack	0.0	81	0.006890494203125306
2	1898	Unweighted SVD-Stack	0.0	82	0.020383191886466236
2	1898	Unweighted SVD-Stack	0.0	83	0.005008906939246644
2	1898	Unweighted SVD-Stack	0.0	84	0.0003775520709445667
2	1898	Unweighted SVD-Stack	0.0	85	0.034833726183442944
2	1898	Unweighted SVD-Stack	0.0	86	0.06919889545201
2	1898	Unweighted SVD-Stack	0.0	87	0.054601324496463745
2	1898	Unweighted SVD-Stack	0.0	88	0.04051982771002388
2	1898	Unweighted SVD-Stack	0.0	89	0.0367040563931787
2	1898	Unweighted SVD-Stack	0.0	90	0.043684704761785424
2	1898	Unweighted SVD-Stack	0.0	91	0.010446193991875175
2	1898	Unweighted SVD-Stack	0.0	92	0.03076207337399182
2	1898	Unweighted SVD-Stack	0.0	93	0.01660674655000316
2	1898	Unweighted SVD-Stack	0.0	94	0.07753167587000839
2	1898	Unweighted SVD-Stack	0.0	95	0.0223322562701852
2	1898	Unweighted SVD-Stack	0.0	96	0.021110685315622855
2	1898	Unweighted SVD-Stack	0.0	97	0.00011081007454604184
2	1898	Unweighted SVD-Stack	0.0	98	0.004291249575076163
